desc,titre,url,ville
"This is a  list of museums in  New York City , which is home to hundreds of cultural institutions and historic sites, many of which are internationally known. Also included are non-profit art galleries, arts centers, and cultural centers with galleries.
",List of museums in New York City,https://en.wikipedia.org/wiki/List_of_museums_in_New_York_City,2
"The  Metropolitan Museum of Art  of  New York City , colloquially "" the Met "", [a]  is the largest art museum in the United States. With 7.06 million visitors to its three locations in 2016, it was the  third most visited art museum in the world , and the fifth  most visited museum  of any kind. [8]  Its permanent collection contains over two million works, [9]  divided among seventeen curatorial departments. The main building, on the eastern edge of  Central Park  along  Museum Mile  in  Manhattan  's  Upper East Side  is by area one of the world's  largest art galleries . A much smaller second location,  The Cloisters  at  Fort Tryon Park  in  Upper Manhattan , contains an extensive collection of art, architecture, and artifacts from  Medieval Europe . On March 18, 2016, the museum opened the  Met Breuer  museum at  Madison Avenue  on the Upper East Side; it extends the museum's modern and contemporary art program.
",Metropolitan Museum of Art,https://en.wikipedia.org/wiki/Metropolitan_Museum_of_Art,2
"Public School 17  is a historic  school  located at  City Island  in  the Bronx ,  New York City .  It was designed by architect  C. B. J. Snyder  (1860–1945) and built in 1897 in the  Neo-Georgian  style. A rear addition was built in 1930. It is a two-story, five-bay brick building on a high basement.  It features a shallow wooden entrance porch with  Doric order  columns.
",PS 17,https://en.wikipedia.org/wiki/City_Island_Nautical_Museum,2
"The  Children’s Museum of the Arts  (“CMA”) is located at 103 Charlton Street,  Manhattan ,  New York , United States in the  South Village  district.  Founded by Kathleen Schneider in 1988, CMA opened its new, 10,000-square-foot space in October 2011. [1] [2] 
",Children's Museum of the Arts,https://en.wikipedia.org/wiki/Children%27s_Museum_of_the_Arts,2
"The  William D. Walsh Family Library  is a library located at  Fordham University 's Rose Hill Campus in the  Bronx ,  New York City . In its 2004 edition of  The Best 351 Colleges , the  Princeton Review  ranked Fordham's William D. Walsh Family Library fifth in the country, ahead of  Yale ,  Harvard , and  Columbia . [1] 
",William D. Walsh Family Library,"https://en.wikipedia.org/wiki/Fordham_Museum_of_Greek,_Etruscan_and_Roman_Art",2
"The  Derfner Judaica Museum  is a cultural and educational center that provides exhibitions relating to  Jewish  history and contemporary Jewish culture. [1]  The museum is located in the Jacob Reingold Pavilion on the grounds of The Hebrew Home at Riverdale in the  Riverdale  neighborhood of  the Bronx  in  New York City . [2] 
",Derfner Judaica Museum,https://en.wikipedia.org/wiki/Derfner_Judaica_Museum,2
"El Museo del Barrio , often known simply as  El Museo  (the museum) is a  museum   located towards the northern end in the neighborhood of  Museum Mile , immediately north of the  Museum of the City of New York  and south of the future  Museum for African Art . Founded in 1969, El Museo specializes in  Latin American  and  Caribbean  art, with an emphasis on works from  Puerto Rico  and the  Puerto Rican community in New York City. 
",El Museo del Barrio,https://en.wikipedia.org/wiki/El_Museo_del_Barrio,2
Route map : ,Fifth Avenue,"https://en.wikipedia.org/wiki/Museum_Mile,_New_York_City",2
"The  Filipino American Museum  (abbreviated  FAM ) is a roving museum in  New York City  that features programming related to  Filipino American  arts, music and culture. [1] 
",Filipino American Museum,https://en.wikipedia.org/wiki/Filipino_American_Museum,2
"The  Dahesh Museum of Art  is the only  museum  in the  United States  devoted to the collection and exhibition of  European   academic art  of the 19th and 20th century. [ citation needed ]  The collection, located in  Manhattan ,  New York City , originated with  Lebanese  writer, humanist, and  philosopher  Salim Moussa Achi (1909–1984), whose pen name was  Dr. Dahesh . The core of the museum's holdings consists of Dahesh's collection of more than 2,000 academic paintings, which includes many notable  Orientalist  paintings. [1]  
",Dahesh Museum of Art,https://en.wikipedia.org/wiki/Dahesh_Museum_of_Art,2
