ville_dep;ville_arr;compagnie;prix
1;2;Norwegian;470 €
1;2;Tap Air Portugal;531 €
1;2;easyJet, Norwegian Air UK;548 €
1;2;Norwegian;553 €
1;2;Norwegian;810 €
1;2;Tap Air Portugal;524 €
1;2;Tap Air Portugal;672 €
1;2;easyJet, Norwegian Air UK;695 €
1;2;easyJet, Thomas Cook Airlines;728 €
1;2;Tap Air Portugal;872 €
1;2;La Compagnie;1 728 €
1;2;La Compagnie;1 728 €
1;2;United;2 138 €
2;1;Norwegian;345 €
2;1;XL Airways;404 €
2;1;Norwegian;419 €
2;1;Norwegian Air UK, easyJet;520 €
2;1;Norwegian Air UK, easyJet;567 €
2;1;Aer Lingus;768 €
2;1;Turkish Airlines;1 149 €
2;1;La Compagnie;1 891 €
2;1;La Compagnie;1 891 €
2;1;United;2 649 €
