ville;nom;url;desc
Paris;Arab World Institute;https://en.wikipedia.org/wiki/Arab_World_Institute;The Arab World Institute (abbreviated "AWI": French: Institut du Monde Arabe, abbreviated "IMA") is an organization founded in Paris in 1980 by 18 Arab countries with France to research and disseminate information about the Arab world and its cultural and spiritual values. The Institute was established as a result of a perceived lack of representation for the Arab world in France, and seeks to provide a secular location for the promotion of Arab civilization, art, knowledge, and aesthetics.[1] Housed within the institution are a museum, library, auditorium, restaurant, offices and meeting rooms.
Paris;Archaeological Crypt of the Paris Notre-Dame;https://en.wikipedia.org/wiki/Archaeological_Crypt_of_the_Paris_Notre-Dame;
Paris;Art Ludique;https://en.wikipedia.org/wiki/Art_Ludique;Art Ludique – The Museum is a 1,200m² museum in the 13th arrondissement of Paris, France, housed in Les Docks, cité de la mode et du design and inaugurated on 16 November 2013.[1]
Paris;Bibliothèque-Musée de l'Opéra National de Paris;https://en.wikipedia.org/wiki/Biblioth%C3%A8que-Mus%C3%A9e_de_l%27Op%C3%A9ra_National_de_Paris;The Bibliothèque-Musée de l'Opéra National de Paris is a library and museum of the Paris Opera and is located in the 9th arrondissement at 8 rue Scribe, Paris, France. It is no longer managed by the Opera, but instead is part of the Music Department of the National Library of France (Bibliothèque nationale de France or BnF). The Paris Opera Library-Museum is open daily: an admission fee is charged.
Paris;Bibliothèque Polonaise de Paris;https://en.wikipedia.org/wiki/Biblioth%C3%A8que_Polonaise_de_Paris;The Polish Library in Paris (French: Bibliothèque Polonaise de Paris, Polish: Biblioteka Polska w Paryżu) is a Polish cultural centre of national importance and is closely associated both with the historic Great Emigration of the Polish élite to Paris in the 19th-century and the formation in 1832 of the Literary Society (Towarzystwo Literackie), later the Historical and Literary Society. The Library was founded in 1838 by Adam Jerzy Czartoryski, Julian Ursyn Niemcewicz and Karol Sienkiewicz, among others. Its first task was to safeguard all surviving books, documents, archives and treasures of national significance. It has become a historical and documentary resource open for the use of Poles and other researchers and visitors. The Library houses three museums related to significant Polish artists: the Salon Frédéric Chopin, the Adam Mickiewicz Museum and the Bolesław Biegas Art collection. UNESCO's Memory of the World Register rates it as an institution unique of its kind.[1]
Paris;Cabinet des Médailles;https://en.wikipedia.org/wiki/Cabinet_des_M%C3%A9dailles;The Cabinet des Médailles,[Note 1] more formally known as Département des Monnaies, Médailles et Antiques de la Bibliothèque nationale de France, is a department of the Bibliothèque nationale de France in Paris. The Cabinet des Médailles is located in the Richelieu-Louvois building – the former main building of the library – on the Rue de Richelieu.[Note 2]
Paris;Catacombes de Paris;https://en.wikipedia.org/wiki/Catacombes_de_Paris;
Paris;Cité de l'Architecture et du Patrimoine;https://en.wikipedia.org/wiki/Cit%C3%A9_de_l%27Architecture_et_du_Patrimoine;The Cité de l'Architecture et du Patrimoine (Architecture and Heritage City) is a museum of architecture and monumental sculpture located in the Palais de Chaillot (Trocadéro), in Paris, France. Its permanent collection is also known as Musée des Monuments Français (Museum of French Monuments). It was first established in 1879 by Eugène Viollet-le-Duc. The museum has been renovated in 2007 and covers 9,000 square meters of gallery space.[1] Alongside temporary exhibitions, it is made of three permanent exhibits :
Paris;Cité des Sciences et de l'Industrie;https://en.wikipedia.org/wiki/Cit%C3%A9_des_Sciences_et_de_l%27Industrie;
Paris;Cité nationale de l'histoire de l'immigration;https://en.wikipedia.org/wiki/Cit%C3%A9_nationale_de_l%27histoire_de_l%27immigration;The Cité nationale de l'histoire de l'immigration is a museum of immigration history located in the 12th arrondissement of Paris at 293, avenue Daumesnil. The nearest métro station is Porte Dorée. It is open daily except Monday: an admission fee is charged.
Paris;Espace Dalí;https://en.wikipedia.org/wiki/Espace_Dal%C3%AD;The Espace Dalí is a permanent exhibition in France devoted to Salvador Dalí and more particularly to his sculptures and engravings. The museum, near the Place du Tertre in the Montmartre district of Paris, has around 300 original artworks. The collection features three-dimensional sculptures of Dalí's best known surrealistic paintings.
Paris;Fondation Cartier pour l'Art Contemporain;https://en.wikipedia.org/wiki/Fondation_Cartier_pour_l%27Art_Contemporain;The Fondation Cartier pour l'Art Contemporain, often known simply as the Fondation Cartier, is a contemporary art museum located at 261 boulevard Raspail in the 14th arrondissement of the French capital, Paris. It is open daily except Monday: an admission fee is charged. The nearest Paris Métro stations are Raspail or Denfert-Rochereau on Line 4 and Line 6.
Paris;Fondation Custodia;https://en.wikipedia.org/wiki/Fondation_Custodia;The Fondation Custodia is an art museum in the 7th arrondissement of Paris, focusing on European Old Master works, including works by Dutch, Flemish, Italian and French artists. The museum was founded in 1947 by the collector and art historian Frits Lugt to house his collection of drawings, prints and paintings. Located at 121 rue de Lille, it occupies the Hôtel Turgot, an 18th-century mansion.[1]
Paris;Fondation Jean Dubuffet;https://en.wikipedia.org/wiki/Fondation_Jean_Dubuffet;The Fondation Jean Dubuffet is a foundation established by artist Jean Dubuffet (1901–1985) in 1973. Its registered office is on the Rue de Moulin Neuf, Sente des Vaux-Ruelle aux Chevaux, Périgny-sur-Yerres, Val-de-Marne, with the secretariat located in the 6th arrondissement of Paris at 137 Rue de Sèvres, Paris, France. Both are open to the public: an admission fee is charged.
Paris;Fondation Louis Vuitton;https://en.wikipedia.org/wiki/Louis_Vuitton_Foundation;The building of the Louis Vuitton Foundation (previously Louis Vuitton Foundation for Creation, in French "Fondation Louis-Vuitton pour la création"), started in 2006, is an art museum and cultural center sponsored by the group LVMH and its subsidiaries. It is run as a legally separate, nonprofit entity as part of LVMH's promotion of art and culture.[1]
Paris;Gaîté Lyrique;https://en.wikipedia.org/wiki/La_Ga%C3%AEt%C3%A9_Lyrique;La Gaîté Lyrique (French: [la ɡɛte liʁik]) is a digital arts and modern music centre opened by the City of Paris in December 2010, located at 3-5 rue Papin in the 3rd arrondissement.[2]
Paris;Galerie des Gobelins;https://en.wikipedia.org/wiki/Manufacture_nationale_des_Gobelins;The Gobelins Manufactory (French: Manufacture des Gobelins) is a historic tapestry factory in Paris, France. It is located at 42 avenue des Gobelins, near Les Gobelins métro station in the 13th arrondissement of Paris.
Paris;Galerie nationale du Jeu de Paume;https://en.wikipedia.org/wiki/Galerie_nationale_du_Jeu_de_Paume;
